•ÈÀCategory,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
a,American History Books,,,,0.5,b,,,,0.5
a,American History Books,Colonial Era,,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The People with No Name,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Jonathan Edwards's Philosophy of History,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Making Heretics,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Taxation in Colonial America,,0.5,b,,,,0.5
a,American History Books,Colonial Era,"Withces, Wife Beaters, and Whores",,0.5,b,,,,0.5
a,American History Books,Colonial Era,Citizen Bachelors,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Memory of All Ancient Customs,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Contagious City,,0.5,b,,,,0.5
a,American History Books,Colonial Era,To Live upon Hope,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Wild Yankees,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Prospero's America,,0.5,b,,,,0.5
a,American History Books,Colonial Era,A Harmony of the Spirits,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Politics of Fashion in Eighteenth-Century America,,0.5,b,,,,0.5
a,American History Books,Colonial Era,"Motives of Honor, Pleasure, and Profit",,0.5,b,,,,0.5
a,American History Books,Colonial Era,Beyond the Founders,,0.5,b,,,,0.5
a,American History Books,Colonial Era,A Reforming People,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Roots of Conflict,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Fatal Revolutions,,0.5,b,,,,0.5
a,American History Books,Colonial Era,From Chicaza to Chickasaw,,0.5,b,,,,0.5
a,American History Books,Colonial Era,This Violent Empire,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Early American Cartographies,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Separated by Their Sex,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The New England Knight,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Science of the Soul in Colonial New England,,0.5,b,,,,0.5
a,American History Books,Colonial Era,In the Eye of All Trade,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Heavenly Merchandize,,0.5,b,,,,0.5
a,American History Books,Colonial Era,When London Was Capital of America,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Jeffersons at Shadwell,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Indian Slave Trade,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Liberty Bell,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Spanish Frontier in North America,,0.5,b,,,,0.5
a,American History Books,Colonial Era,A Cheerful and Comfortable Faith,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Peter's War,,0.5,b,,,,0.5
a,American History Books,Colonial Era,"Benjamin Franklin, Pennsylvania, and the First Nations",,0.5,b,,,,0.5
a,American History Books,Colonial Era,Dissenting Bodies,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Native Apostles,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Under Household Government,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Accidental City,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Mahogany,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Before the Revolution,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Four Deaths of Acorn Whistler,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Sarah Osborn's World,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Building a New Jerusalem,,0.5,b,,,,0.5
a,American History Books,Colonial Era,From Peace to Freedom,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Abandoning America,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Paris on the Potomac,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Doctor Franklin's Medicine,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Mortal Remains,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Native Ground,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Rum Punch and Revolution,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Autobiography of Benjamin Franklin,,0.5,b,,,,0.5
a,American History Books,Colonial Era,New Netherland and the Dutch Origins of American Religious Liberty,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Embodied History,,0.5,b,,,,0.5
a,American History Books,Colonial Era,An Infinity of Nations,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Head in Edward Nugent's Hand,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Captive's Position,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Envisioning an English Empire,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Zamumo's Gifts,,0.5,b,,,,0.5
a,American History Books,Colonial Era,"The Life of Benjamin Franklin, Volume 1",,0.5,b,,,,0.5
a,American History Books,Colonial Era,Town Born,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Ways of Writing,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Protestant Empire,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Abraham in Arms,,0.5,b,,,,0.5
a,American History Books,Colonial Era,A Nation of Women,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Poor Indians,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Religion and Profit,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Wild Frenchmen and Frenchified Indians,,0.5,b,,,,0.5
a,American History Books,Colonial Era,A Town In-Between,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Friends and Strangers,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Empires of God,,0.5,b,,,,0.5
a,American History Books,Colonial Era,One Family Under God,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Shame and the Sorrow,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Banished,,0.5,b,,,,0.5
a,American History Books,Colonial Era,John Woolman's Path to the Peaceable Kingdom,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Political Gastronomy,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Revolution Is Now Begun,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Stuyvesant Bound,,0.5,b,,,,0.5
a,American History Books,Colonial Era,"Trade, Land, Power",,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Empire Reformed,,0.5,b,,,,0.5
a,American History Books,Colonial Era,From Privileges to Rights,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Bibliography and the Book Trades,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Collecting Across Cultures,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Laboring Women,,0.5,b,,,,0.5
a,American History Books,Colonial Era,"The Autobiography of Thomas Jefferson, 1743-1790",,0.5,b,,,,0.5
a,American History Books,Colonial Era,Commerce by a Frozen Sea,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Dangerous Economies,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Imperial Entanglements,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Bodies of Belief,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Brabbling Women,,0.5,b,,,,0.5
a,American History Books,Colonial Era,James Habersham,,0.5,b,,,,0.5
a,American History Books,Colonial Era,On the Rim of the Caribbean,,0.5,b,,,,0.5
a,American History Books,Colonial Era,African American Life in the Georgia Lowcountry,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Georgia's Frontier Women,,0.5,b,,,,0.5
a,American History Books,Colonial Era,"Scottish Emigration to Colonial America, 1607-1785",,0.5,b,,,,0.5
a,American History Books,Colonial Era,Scottish Highlanders in Colonial Georgia,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Savage Barbecue,,0.5,b,,,,0.5
a,American History Books,Colonial Era,"Christian Ritual and the Creation of British Slave Societies, 1650–1780",,0.5,b,,,,0.5
a,American History Books,Colonial Era,From a Far Country,,0.5,b,,,,0.5
a,American History Books,Colonial Era,"The Life of Benjamin Franklin, Volume 2",,0.5,b,,,,0.5
a,American History Books,Colonial Era,"Red, White, and Black Make Blue",,0.5,b,,,,0.5
a,American History Books,Colonial Era,Ariel's Ecology,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Seasons of Misery,,0.5,b,,,,0.5
a,American History Books,Colonial Era,New World Orders,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Louisiana,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Two Troubled Souls,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Diplomacy in Black and White,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Subjects unto the Same King,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Robert Love's Warnings,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Contested Spaces of Early America,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Emperor of Liberty,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Defiance of the Patriots,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Defying Empire,,0.5,b,,,,0.5
